X0             Y0             Theta          X              Y              
15.0000        15.0000        3.2985         10.0013        14.2092        
15.0000        15.0000        3.6127         10.0012        12.4535        
15.0000        15.0000        3.9270         10.0011        10.0012        
15.0000        15.0000        4.2412         12.4536        10.0012        
15.0000        15.0000        4.5555         14.2093        10.0013        
15.0000        15.0000        4.8698         15.7932        10.0014        
15.0000        15.0000        5.1840         17.5493        10.0015        
15.0000        15.0000        5.4983         20.0027        10.0017        
15.0000        15.0000        -0.4708        20.0031        12.4533        
15.0000        15.0000        -0.1568        20.0033        14.2092        
15.0000        15.0000        0.1573         20.0035        15.7936        
15.0000        15.0000        0.4714         20.0038        17.5504        
15.0000        15.0000        0.7854         20.0042        20.0044        
15.0000        15.0000        1.0995         17.5499        20.0038        
15.0000        15.0000        1.4136         15.7932        20.0034        
15.0000        15.0000        1.7276         14.2088        20.0033        
15.0000        15.0000        2.0417         12.4529        20.0031        
15.0000        15.0000        2.3558         10.0022        20.0031        
15.0000        15.0000        2.6700         10.0015        17.5491        
15.0000        15.0000        2.9842         10.0013        15.7931        
15.0000        25.0000        3.2983         10.0019        24.2103        
15.0000        25.0000        3.6126         10.0017        22.4549        
15.0000        25.0000        3.9268         10.0016        20.0033        
15.0000        25.0000        4.2412         12.4543        20.0032        
15.0000        25.0000        4.5556         14.2099        20.0035        
15.0000        25.0000        4.8699         15.7937        20.0036        
15.0000        25.0000        5.1843         17.5498        20.0039        
15.0000        25.0000        5.4987         20.0038        20.0047        
15.0000        25.0000        -0.4705        20.0047        22.4544        
15.0000        25.0000        -0.1566        20.0052        24.2099        
15.0000        25.0000        0.1574         20.0055        25.7945        
15.0000        25.0000        0.4714         20.0061        27.5517        
15.0000        25.0000        0.7854         20.0070        30.0068        
15.0000        25.0000        1.0994         17.5514        30.0054        
15.0000        25.0000        1.4134         15.7942        30.0048        
15.0000        25.0000        1.7275         14.2095        30.0045        
15.0000        25.0000        2.0415         12.4537        30.0042        
15.0000        25.0000        2.3555         10.0029        30.0042        
15.0000        25.0000        2.6698         10.0022        27.5502        
15.0000        25.0000        2.9840         10.0020        25.7941        
15.0000        35.0000        3.2984         10.0029        34.2100        
15.0000        35.0000        3.6127         10.0027        32.4547        
15.0000        35.0000        3.9270         10.0024        30.0063        
15.0000        35.0000        4.2414         12.4564        30.0044        
15.0000        35.0000        4.5559         14.2117        30.0048        
15.0000        35.0000        4.8703         15.7954        30.0050        
15.0000        35.0000        5.1847         17.5518        30.0055        
15.0000        35.0000        5.4992         20.0067        30.0067        
15.0000        35.0000        -0.4702        20.0079        32.4548        
15.0000        35.0000        -0.1564        20.0084        34.2101        
15.0000        35.0000        0.1574         20.0092        35.7948        
15.0000        35.0000        0.4712         20.0099        37.5522        
