X0             Y0             Theta          X              Y              
15.0000        35.0000        -0.4709        20.0030        32.4530        
15.0000        35.0000        -0.1569        20.0034        34.2084        
15.0000        35.0000        0.1571         20.0036        35.7924        
15.0000        35.0000        0.4710         20.0039        37.5483        
15.0000        35.0000        0.7850         20.0043        40.0004        
15.0000        35.0000        1.0992         17.5509        40.0019        
15.0000        35.0000        1.4134         15.7939        40.0016        
15.0000        35.0000        1.7276         14.2095        40.0015        
15.0000        35.0000        2.0417         12.4535        40.0014        
15.0000        35.0000        2.3559         10.0018        40.0014        
15.0000        35.0000        2.6701         10.0013        37.5484        
15.0000        35.0000        2.9843         10.0013        35.7927        
15.0000        45.0000        3.2986         10.0016        44.2089        
15.0000        45.0000        3.6128         10.0015        42.4536        
15.0000        45.0000        3.9270         10.0014        40.0016        
15.0000        45.0000        4.2413         12.4541        40.0016        
15.0000        45.0000        4.5556         14.2099        40.0016        
15.0000        45.0000        4.8699         15.7940        40.0018        
15.0000        45.0000        5.1842         17.5505        40.0020        
15.0000        45.0000        5.4986         20.0034        40.0025        
15.0000        45.0000        -0.4707        20.0047        42.4534        
15.0000        45.0000        -0.1568        20.0050        44.2088        
15.0000        45.0000        0.1571         20.0052        45.7930        
15.0000        45.0000        0.4710         20.0053        47.5491        
15.0000        45.0000        0.7850         20.0057        50.0003        
15.0000        45.0000        1.0992         17.5505        50.0007        
15.0000        45.0000        1.4134         15.7939        50.0007        
15.0000        45.0000        1.7276         14.2096        50.0006        
15.0000        45.0000        2.0418         12.4539        50.0005        
15.0000        45.0000        2.3560         10.0020        50.0005        
15.0000        45.0000        2.6702         10.0017        47.5480        
15.0000        45.0000        2.9844         10.0015        45.7925        
15.0000        55.0000        3.2987         10.0017        54.2082        
15.0000        55.0000        3.6129         10.0017        52.4528        
15.0000        55.0000        3.9271         10.0017        50.0009        
15.0000        55.0000        4.2414         12.4541        50.0007        
15.0000        55.0000        4.5556         14.2099        50.0007        
15.0000        55.0000        4.8699         15.7941        50.0007        
15.0000        55.0000        5.1842         17.5508        50.0008        
15.0000        55.0000        5.4985         20.0056        50.0011        
15.0000        55.0000        -0.4708        20.0058        52.4520        
15.0000        55.0000        -0.1569        20.0058        54.2079        
15.0000        55.0000        0.1569         20.0058        55.7921        
15.0000        55.0000        0.4708         20.0058        57.5480        
15.0000        55.0000        0.7847         20.0056        59.9987        
15.0000        55.0000        1.0990         17.5508        59.9992        
15.0000        55.0000        1.4133         15.7941        59.9993        
15.0000        55.0000        1.7275         14.2099        59.9993        
15.0000        55.0000        2.0418         12.4541        59.9993        
15.0000        55.0000        2.3561         10.0017        59.9994        
15.0000        55.0000        2.6703         10.0017        57.5472        
15.0000        55.0000        2.9845         10.0017        55.7918        
15.0000        65.0000        3.2988         10.0017        64.2077        
15.0000        65.0000        3.6130         10.0017        62.4522        
15.0000        65.0000        3.9272         10.0017        60.0002        
15.0000        65.0000        4.2414         12.4537        59.9994        
15.0000        65.0000        4.5556         14.2096        59.9994        
15.0000        65.0000        4.8698         15.7939        59.9993        
15.0000        65.0000        5.1841         17.5507        59.9992        
15.0000        65.0000        5.4983         20.0054        59.9990        
15.0000        65.0000        -0.4710        20.0054        62.4513        
15.0000        65.0000        -0.1570        20.0051        64.2076        
15.0000        65.0000        0.1569         20.0049        65.7919        
15.0000        65.0000        0.4709         20.0047        67.5477        
15.0000        65.0000        0.7848         20.0043        69.9946        
15.0000        65.0000        1.0991         17.5495        69.9979        
15.0000        65.0000        1.4134         15.7934        69.9981        
15.0000        65.0000        1.7276         14.2095        69.9983        
15.0000        65.0000        2.0419         12.4539        69.9985        
15.0000        65.0000        2.3562         10.0017        69.9985        
